Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-14-4-easy.txt
Instancia                        Resuelto         Tiempo     Nodos Expandidos   Distancia
5 6 2 12 11 7 1 4 3 9 8 10 0 13  Verdadero       0.003283 ms     6080            9
1 2 3 4 9 0 11 5 12 8 7 6 10 13  Verdadero       0.001718 ms     2510            9
3 0 9 8 4 12 2 10 5 6 11 7 1 13  Verdadero       0.313174 ms     501356          11
9 3 11 6 0 12 8 7 1 10 2 4 5 13  Verdadero       2.6e-05 ms      16              7
3 4 5 6 10 7 11 12 2 8 9 0 1 13  Verdadero       1.9e-05 ms      16              7
6 10 0 12 3 5 9 8 7 4 2 1 11 13  Verdadero       0.048402 ms     80940           11
4 5 11 12 0 10 7 3 9 8 6 1 2 13  Verdadero       0.036444 ms     72474           10
0 3 5 12 11 2 9 7 10 1 4 6 8 13  Verdadero       4.11396 ms      9513128         12
1 3 2 12 0 11 9 6 10 4 7 8 5 13  Verdadero       0.330866 ms     561608          12
12 9 11 2 1 10 6 5 4 3 8 0 7 13  Verdadero       0.002417 ms     3150            10
7 4 9 0 10 12 6 8 11 1 2 3 5 13  Verdadero       0.270031 ms     476588          11
5 4 7 9 3 11 6 0 10 2 8 12 1 13  Verdadero       0.006334 ms     9260            10
3 10 7 2 6 4 0 1 5 8 12 11 9 13  Verdadero       0.013253 ms     25108           10
5 1 12 4 7 3 2 10 9 8 11 6 0 13  Verdadero       0.116838 ms     276944          11
6 10 2 3 1 9 5 8 7 4 12 11 0 13  Verdadero       0.138649 ms     297224          11
11 1 10 0 12 3 5 9 8 7 4 2 6 13  Verdadero       0.009721 ms     20312           10
12 8 4 10 0 1 9 7 2 3 11 6 5 13  Verdadero       0.135138 ms     284316          11
9 4 12 5 8 1 10 6 2 7 11 0 3 13  Verdadero       0.147312 ms     391870          11
3 4 7 1 0 8 9 6 5 10 2 12 11 13  Verdadero       0.002373 ms     2846            9
8 4 10 9 2 12 3 1 6 7 5 11 0 13  Verdadero       0.065911 ms     107768          10
7 0 3 9 12 8 11 6 10 1 2 5 4 13  Verdadero       0.023641 ms     53044           11
10 1 7 0 2 4 12 11 3 5 9 8 6 13  Verdadero       0.343476 ms     698420          11
3 6 11 5 7 4 12 9 8 0 2 10 1 13  Verdadero       0.225123 ms     537068          11
5 8 4 2 6 10 12 0 9 7 11 1 3 13  Verdadero       0.547509 ms     1034640         12
12 8 10 4 5 1 6 0 11 3 9 2 7 13  Verdadero       0.080626 ms     144304          11
7 4 11 1 10 0 12 3 5 9 8 2 6 13  Verdadero       0.072396 ms     128646          11
1 2 3 0 9 4 5 11 8 12 10 6 7 13  Verdadero       0.003186 ms     5016            9
2 4 11 0 12 1 6 7 3 9 5 10 8 13  Verdadero       0.13094 ms      190772          12
0 10 1 7 6 2 12 11 4 3 9 5 8 13  Verdadero       0.016768 ms     33640           10
7 4 9 0 10 12 6 8 11 5 3 2 1 13  Verdadero       0.3194 ms       555416          12
6 0 9 8 2 7 4 5 10 1 11 12 3 13  Verdadero       0.072416 ms     131820          11
11 4 6 5 1 9 0 10 8 2 7 3 12 13  Verdadero       0.274398 ms     397100          12
4 9 1 6 11 8 3 7 5 2 0 10 12 13  Verdadero       0.109599 ms     219514          11
2 8 6 12 5 4 3 11 1 0 7 9 10 13  Verdadero       0.007618 ms     12312           10
9 7 11 1 10 4 5 8 6 12 0 3 2 13  Verdadero       9.17054 ms      17156536        13
