Please enter a test file followed by ENTER: Tests/top-spin-12-4-easy.txt
Instance                         Solved   Time     Nodes Expanded   Distance
0 9 7 6 2 3 8 1 5 10 4 11        True   8e-06           5               5
10 1 9 4 3 2 5 0 8 7 6 11        True   6e-06           5               5
4 6 1 2 3 5 9 8 10 7 0 11        True   6e-06           5               5
5 2 3 8 4 0 1 10 9 6 7 11        True   7e-06           6               6
0 8 1 10 9 4 3 2 7 6 5 11        True   5e-06           4               4
10 2 8 7 5 6 4 3 9 1 0 11        True   6e-06           6               6
7 6 9 2 1 5 3 8 0 10 4 11        True   5e-06           6               6
0 8 5 4 10 9 6 3 2 1 7 11        True   4e-06           6               6
3 6 7 9 10 5 4 8 1 2 0 11        True   7e-06           6               6
0 3 4 5 2 8 9 1 6 10 7 11        True   8e-06           6               6
2 3 9 0 6 10 4 5 1 8 7 11        True   9e-06           6               6
10 9 1 2 3 4 8 7 6 5 0 11        True   3e-06           2               2
5 2 3 8 4 9 10 1 0 6 7 11        True   5e-06           7               7
10 9 1 2 3 6 7 8 4 5 0 11        True   2e-06           3               3
5 1 10 9 2 7 6 4 3 8 0 11        True   7e-06           7               7
2 3 8 1 5 9 10 0 6 4 7 11        True   8e-06           7               7
0 7 6 10 3 2 9 4 5 1 8 11        True   5e-06           7               7
4 6 7 9 10 2 3 8 1 5 0 11        True   6e-06           7               7
0 3 4 5 2 8 9 7 10 6 1 11        True   5e-06           7               7
0 8 3 2 6 1 5 4 7 9 10 11        True   6e-06           7               7
10 9 4 0 1 2 5 6 7 8 3 11        True   4e-06           3               3
3 9 8 7 2 5 4 0 1 6 10 11        True   5e-06           5               5
10 3 2 1 5 6 7 9 4 8 0 11        True   3e-06           4               4
6 7 4 3 1 2 9 10 5 8 0 11        True   1e-05           9               8
4 10 0 7 1 2 9 6 5 3 8 11        True   8e-06           8               8
3 7 5 9 1 0 6 2 8 10 4 11        True   1e-05           8               8
10 1 9 4 2 7 8 3 5 0 6 11        True   8e-06           9               8
0 9 3 2 6 1 5 4 10 8 7 11        True   7e-06           9               8
0 4 9 10 1 2 5 6 7 8 3 11        True   2e-06           4               4
0 2 3 10 6 9 8 7 1 5 4 11        True   8e-06           6               6
6 1 2 3 10 7 8 5 9 4 0 11        True   5e-06           6               6
5 2 3 8 10 1 0 4 9 6 7 11        True   5e-06           7               7
10 7 9 0 8 3 2 1 6 5 4 11        True   7e-06           5               5
3 4 6 0 1 8 2 10 9 7 5 11        True   1.1e-05         7               7
0 7 2 6 10 3 9 5 4 1 8 11        True   4.1e-05         24              9
3 9 10 5 6 7 4 0 2 1 8 11        True   3.1e-05         18              8
2 3 7 0 8 10 5 9 1 6 4 11        True   2.8e-05         17              9
10 9 4 3 2 1 8 7 6 5 0 11        True   3e-06           3               3
3 1 0 10 6 9 8 7 2 5 4 11        True   6e-06           7               7
0 2 3 10 7 8 5 9 4 1 6 11        True   5e-06           7               7
7 6 2 3 8 10 1 0 4 9 5 11        True   1.1e-05         9               8
3 6 7 10 2 1 9 0 8 4 5 11        True   6.1e-05         35              9
5 1 10 9 4 6 7 2 3 8 0 11        True   3e-06           6               6
2 3 9 6 1 8 7 5 0 10 4 11        True   8e-06           8               8
0 1 3 6 9 10 2 8 5 7 4 11        True   5.4e-05         30              9
3 5 1 9 4 2 7 8 6 0 10 11        True   3.9e-05         25              9
0 1 4 9 10 7 2 6 5 8 3 11        True   6e-06           6               6
4 9 8 7 5 2 3 0 1 6 10 11        True   4e-06           6               6
2 8 7 10 6 3 4 1 5 9 0 11        True   7e-06           8               8
4 7 8 0 3 2 1 10 9 5 6 11        True   8e-06           8               8
0 9 8 7 4 3 2 6 5 1 10 11        True   1e-05           10              7
7 8 3 2 6 10 1 0 4 9 5 11        True   1.1e-05         8               7
5 4 7 3 9 10 6 1 2 8 0 11        True   6e-06           7               7
5 0 10 7 1 2 9 4 8 3 6 11        True   4.1e-05         22              9
4 7 10 2 9 5 3 6 1 8 0 11        True   5.8e-05         34              10
0 10 3 2 9 7 5 8 1 6 4 11        True   3.8e-05         23              9
7 6 4 9 10 1 2 8 3 5 0 11        True   9e-06           8               7
1 3 4 8 9 7 10 0 2 6 5 11        True   7e-06           7               7
10 4 9 1 2 3 0 8 7 5 6 11        True   1.4e-05         11              8
10 9 8 0 5 6 2 3 4 1 7 11        True   1.6e-05         15              8
0 4 3 6 10 2 9 1 7 8 5 11        True   7e-06           9               9
5 1 7 2 4 3 9 10 6 8 0 11        True   7e-06           8               8
7 0 5 1 4 10 3 2 9 6 8 11        True   2.3e-05         15              9
3 9 10 5 7 1 2 6 4 0 8 11        True   1.2e-05         11              9
