Please enter a test file followed by ENTER: Tests/top-spin-12-4-medium.txt
Instance                         Solved   Time     Nodes Expanded   Distance
9 4 6 1 7 0 8 5 2 10 3 11        True   0.000445        277             11
0 1 7 9 6 8 3 10 5 4 2 11        True   1.2e-05         10              8
6 3 1 8 5 0 2 10 4 7 9 11        True   0.000131        81              10
8 2 7 4 9 6 5 0 3 10 1 11        True   0.000369        238             10
1 4 8 3 6 5 7 9 10 0 2 11        True   0.000267        171             10
8 1 7 3 4 0 5 9 2 10 6 11        True   0.00012         74              10
10 8 7 4 9 6 3 2 0 1 5 11        True   4.2e-05         28              9
10 4 3 6 5 0 7 9 1 2 8 11        True   1.9e-05         13              8
0 7 4 3 9 5 1 10 8 6 2 11        True   9e-06           9               8
4 3 1 5 7 0 8 6 2 9 10 11        True   4.9e-05         31              9
0 10 2 7 4 8 1 6 9 5 3 11        True   7e-06           8               8
3 4 7 9 0 2 5 6 8 1 10 11        True   2.5e-05         18              9
10 4 1 9 3 7 6 2 8 0 5 11        True   1e-05           10              8
3 0 8 1 4 6 5 9 2 7 10 11        True   8.2e-05         55              9
