Please enter a test file followed by ENTER: Tests/top-spin-17-4-medium.txt
Instance                                         Solved   Time     Nodes Expanded   Distance
5 4 10 6 15 3 12 9 2 7 14 1 11 0 13 8 16         True   41.7699         21933102        16
10 2 6 1 0 14 15 7 5 11 4 8 9 12 13 3 16         True   0.185327        100293          13
14 7 5 4 15 2 10 12 6 13 0 8 9 11 3 1 16         True   7.60021         4275297         15
15 13 0 11 14 9 6 12 5 10 3 7 1 8 4 2 16         True   8.49119         4836454         15
14 13 8 1 9 3 4 10 12 5 6 7 15 2 0 11 16         True   12.1314         6794875         15
7 2 12 13 9 15 6 3 11 10 8 0 5 14 1 4 16         True   3.72388         2037384         15
0 15 8 2 3 4 13 1 14 9 10 7 12 5 6 11 16         True   1.71063         929505          14
14 8 5 13 7 11 0 3 6 15 12 1 9 10 2 4 16         True   4.11898         2137261         15
0 5 13 12 14 9 1 4 15 3 2 10 7 6 8 11 16         True   9.07655         5431244         14
3 7 2 11 4 5 12 13 8 1 6 0 14 15 9 10 16         True   0.828379        491891          14
8 9 13 7 0 10 15 4 2 11 6 5 14 3 1 12 16         True   5.02421         2747802         15
1 2 3 10 14 5 7 15 0 6 11 9 4 12 8 13 16         True   7.46305         4058545         15
3 8 12 0 14 1 13 5 7 11 10 9 6 4 2 15 16         True   14.1403         7674428         15
2 1 7 15 3 6 8 4 0 5 11 14 10 9 13 12 16         True   1.19196         701329          13
6 0 13 1 3 5 9 14 11 2 8 12 7 10 15 4 16         True   83.9925         46101968        16
7 2 12 13 9 15 6 3 11 10 8 14 5 0 4 1 16         True   16.3187         9374571         15
0 14 4 3 2 8 15 9 10 11 1 6 5 12 7 13 16         True   4.25363         2267855         14
5 8 1 11 3 13 15 10 12 0 4 2 6 14 9 7 16         True   6.52017         3606056         15
3 9 0 13 2 14 4 7 11 8 6 1 10 5 12 15 16         True   3.65796         1979355         15
15 11 8 9 7 13 4 12 10 2 3 6 14 0 5 1 16         True   20.1517         11617162        15
14 6 15 11 3 2 0 4 8 12 9 1 5 13 7 10 16         True   4.87117         2831264         14
7 2 1 15 10 13 11 14 9 6 5 8 0 12 4 3 16         True   7.37225         4270238         15
13 0 4 14 12 8 15 1 5 3 11 10 9 7 6 2 16         True   2.67518         1639081         14
10 0 1 12 3 13 8 15 9 11 4 7 6 5 2 14 16         True   26.399          14487400        16
4 13 3 7 11 9 5 12 6 15 8 14 10 0 1 2 16         True   1.59388         907097          14
13 12 2 7 9 11 3 6 15 10 8 14 5 0 4 1 16         True   20.3843         11537789        15
8 1 5 14 12 0 4 15 9 10 11 2 7 13 6 3 16         True   5.53768         3111050         15
2 1 6 8 10 9 3 12 5 0 11 13 4 15 14 7 16         True   2.96743         1639932         14
14 6 4 8 5 1 2 10 11 9 12 15 7 13 0 3 16         True   18.6259         10043911        15
8 5 1 10 14 12 11 3 15 4 2 0 13 6 9 7 16         True   125.513         73120513        16
10 5 3 8 13 14 11 1 2 12 6 0 15 7 4 9 16         True   4.88601         2807011         15
14 6 8 4 11 5 3 1 13 15 12 9 10 7 0 2 16         True   57.8795         32556768        16
15 5 0 14 8 12 6 7 11 3 4 1 13 9 10 2 16         True   8.1935          4316680         15
13 10 9 2 8 4 7 15 1 5 0 12 11 14 6 3 16         True   10.8702         5900310         15
7 3 14 2 12 6 10 0 11 8 13 9 1 4 5 15 16         True   1.13728         587868          14
