Please enter a test file followed by ENTER: Tests/top-spin-17-4-hard.txt
Instance                                        Solved   Time     Nodes Expanded   Distance
13 2 5 10 1 0 15 3 12 7 14 6 4 9 8 11 16         True   10.1916     5402623         15
3 4 7 1 6 13 5 2 9 15 12 10 8 14 11 0 16         True   7.21651     4233709         14
2 10 11 15 13 12 5 3 6 4 7 1 14 8 9 0 16         True   6.12074     3625003         15
11 10 5 9 12 15 8 7 0 1 14 6 2 13 4 3 16         True   0.081878    47397           13
15 8 7 1 3 14 2 13 10 6 11 9 0 5 4 12 16         True   4.94646     2670834         15
3 4 8 15 0 12 13 14 7 10 9 1 6 5 2 11 16         True   5.97021     3477982         15
3 6 7 4 0 1 15 14 8 5 12 10 13 9 2 11 16         True   13.5834     7540574         15
13 15 5 11 14 12 7 6 3 10 8 4 1 9 2 0 16         True   52.9459     31352951        16
10 4 6 8 0 11 9 12 1 7 14 5 13 15 2 3 16         True   18.3757     9916119         15
1 12 4 3 9 8 5 11 10 2 13 14 15 0 7 6 16         True   0.330578    152867          13
13 2 5 10 1 0 15 3 12 7 9 4 6 14 8 11 16         True   32.2438     17703642        16
3 14 12 4 7 1 6 10 5 2 9 15 11 13 8 0 16         True   31.2154     15893949        15
4 1 8 5 7 14 6 9 3 2 10 11 0 12 13 15 16         True   19.4912     9434723         15
8 7 5 2 12 9 13 0 3 6 11 4 14 10 1 15 16         True   2.35136     1011211         14
8 13 2 14 7 6 0 10 3 11 4 5 12 1 9 15 16         True   2.45444     1051358         15
10 6 15 13 11 4 8 9 1 2 3 0 5 14 7 12 16         True   25.4838     13325871        15
5 14 4 0 3 15 13 1 2 7 8 6 9 12 11 10 16         True   4.26209     2247180         14
14 15 1 3 13 8 10 4 11 12 7 2 9 0 6 5 16         True   5.38697     2810109         15
8 14 15 4 0 2 6 7 11 9 1 10 12 3 13 5 16         True   0.230286    119732          13
0 6 3 8 10 13 11 5 15 12 7 2 4 1 9 14 16         True   136.53      70878894        16
11 8 2 5 10 1 0 12 7 9 15 14 6 4 3 13 16         True   15.832      8470114         15
12 5 9 10 2 14 8 7 11 6 3 13 4 1 0 15 16         True   8.40198     4169940         15
5 2 8 13 9 7 3 0 11 12 10 1 15 4 6 14 16         True   66.8452     34406527        16
12 0 8 14 9 11 1 15 3 7 5 4 6 10 13 2 16         True   10.716      5592318         15
7 1 2 6 11 12 4 9 0 8 14 3 5 10 15 13 16         True   237.739     123432477       16
6 8 12 15 1 5 14 9 13 2 3 11 4 7 10 0 16         True   8.29608     4446255         15
6 9 0 2 8 10 4 7 13 11 15 14 3 12 1 5 16         True   18.6116     9656763         15
7 15 12 3 0 5 1 10 4 14 9 11 8 2 6 13 16         True   238.482     128464675       16
14 8 11 12 3 13 0 2 7 15 10 1 4 5 6 9 16         True   2.79199     1577332         14
0 9 14 7 4 15 3 10 1 13 11 8 2 12 6 5 16         True   42.2366     22423873        16
11 10 5 2 12 0 1 8 7 6 9 4 3 14 15 13 16         True   5.73612     3450442         14
0 7 11 9 15 14 3 5 2 8 4 10 6 12 13 1 16         True   1.61488     880244          14
4 9 0 14 11 1 8 13 10 7 6 5 3 12 15 2 16         True   15.1597     8259863         15
7 8 15 1 14 4 11 0 10 9 13 2 5 6 12 3 16         True   1.26992     679336          14
13 4 0 8 3 10 6 12 2 1 5 11 15 7 9 14 16         True   12.3992     7066847         15
1 3 0 15 8 14 6 9 2 10 12 4 13 5 11 7 16         True   25.4461     13422992        16
1 4 3 10 2 8 13 11 15 14 6 12 7 0 9 5 16         True   18.4429     11205204        15
15 1 5 11 0 4 14 13 12 8 2 9 7 6 10 3 16         True   1.31267     717595          14
3 6 13 8 2 5 9 14 15 4 7 12 0 10 11 1 16         True   4.4105      2417769         15
6 8 13 10 0 15 3 4 2 7 14 9 1 11 12 5 16         True   32.0002     17735272        16
2 5 10 11 12 0 1 8 7 6 9 4 3 14 15 13 16         True   8.34281     4822552         14
3 4 10 2 13 15 9 11 7 14 0 5 1 8 12 6 16         True   16.3093     9058506         15
1 13 5 8 2 4 14 9 7 6 15 10 3 11 0 12 16         True   38.5575     20871933        16
12 15 9 5 4 7 6 0 8 1 10 14 2 11 13 3 16         True   4.18298     2386095         14
5 8 9 1 0 12 15 6 10 3 2 13 11 4 14 7 16         True   2.3353      1351227         14
9 13 12 2 5 10 1 0 7 15 3 14 4 11 8 6 16         True   5.04703     2753093         15
13 6 2 1 15 11 7 8 10 3 14 12 4 9 5 0 16         True   0.031975    20067           12
5 6 15 9 2 0 1 8 3 12 14 13 11 7 4 10 16         True   17.3669     9778504         15
0 1 12 14 10 6 15 4 11 3 9 8 7 2 5 13 16         True   7.19983     3975078         15
7 10 1 3 12 8 15 5 4 6 11 9 2 14 0 13 16         True   74.761      39912224        16
13 15 5 10 1 0 12 11 8 7 6 9 4 3 14 2 16         True   25.1436     13427649        15
7 6 11 3 14 0 10 12 8 1 15 5 2 9 13 4 16         True   69.8158     35390464        16
12 0 11 1 13 5 14 4 2 8 9 7 6 15 10 3 16         True   8.06182     4259326         15
7 8 11 3 6 10 9 5 1 13 14 2 4 12 0 15 16         True   4.98333     2571250         14
5 7 12 4 9 0 13 11 1 15 3 10 8 2 6 14 16         True   15.3443     7878159         15
1 2 3 0 15 11 13 12 10 4 6 9 7 14 8 5 16         True   72.9224     39270623        16
5 13 7 11 0 6 12 4 1 8 9 10 14 2 3 15 16         True   2.66976     1370168         14
6 14 8 7 5 15 2 3 12 0 11 9 10 1 13 4 16         True   23.7788     12214712        16
3 14 15 12 2 11 8 5 9 6 4 7 13 1 0 10 16         True   19.6867     10617219        15
9 5 0 10 1 13 2 4 12 15 14 8 11 7 3 6 16         True   39.8333     20990461        16
