Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-12-4-hard.txt
Instancia                        Resuelto        Tiempo      Nodos Expandidos   Distancia
5 4 3 10 9 2 7 8 0 6 1 11        Verdadero       3.6e-05 ms      18              8
6 3 1 0 2 4 9 7 8 10 5 11        Verdadero       0.000169 ms     184             9
1 5 7 9 2 4 3 8 6 10 0 11        Verdadero       6.9e-05 ms      56              9
3 9 5 2 1 4 10 7 6 8 0 11        Verdadero       2.9e-05 ms      20              8
7 5 8 10 4 6 9 1 3 0 2 11        Verdadero       0.000962 ms     1038            11
3 9 6 7 8 2 1 0 4 10 5 11        Verdadero       2.3e-05 ms      22              8
3 2 5 10 0 1 9 8 4 7 6 11        Verdadero       0.000108 ms     104             9
7 2 10 3 0 9 8 4 5 1 6 11        Verdadero       0.000397 ms     836             9
9 6 2 0 1 4 10 7 3 8 5 11        Verdadero       3.8e-05 ms      28              9
3 5 9 2 0 8 1 7 6 4 10 11        Verdadero       4.9e-05 ms      40              9
6 7 8 9 0 3 1 10 2 5 4 11        Verdadero       6.6e-05 ms      48              8
9 6 2 10 8 3 7 5 0 1 4 11        Verdadero       3.2e-05 ms      22              9
4 6 8 7 1 3 9 0 10 2 5 11        Verdadero       0.000492 ms     448             10
2 1 0 10 9 6 4 7 3 5 8 11        Verdadero       3.1e-05 ms      22              9
10 0 7 8 2 5 9 1 4 6 3 11        Verdadero       0.001394 ms     1792            11
5 10 9 6 7 8 2 1 0 4 3 11        Verdadero       2e-05 ms        16              7
10 0 6 7 2 1 9 5 8 3 4 11        Verdadero       0.000227 ms     348             9
5 9 10 1 3 2 8 6 4 0 7 11        Verdadero       0.000157 ms     148             10
1 9 4 7 5 0 8 3 10 2 6 11        Verdadero       4.4e-05 ms      36              9
3 0 2 6 9 7 8 1 5 4 10 11        Verdadero       4.5e-05 ms      38              9
1 4 10 0 2 8 9 3 5 7 6 11        Verdadero       0.000414 ms     486             10
1 8 10 9 5 0 7 4 2 6 3 11        Verdadero       8.6e-05 ms      74              10
9 8 5 0 4 10 7 2 3 1 6 11        Verdadero       0.000326 ms     384             10
2 1 10 7 0 4 6 9 3 8 5 11        Verdadero       2.8e-05 ms      20              9
4 6 1 8 2 10 3 7 9 0 5 11        Verdadero       0.000194 ms     178             10
5 10 9 6 1 2 8 7 0 4 3 11        Verdadero       1.9e-05 ms      18              8
10 0 5 4 7 9 1 2 3 8 6 11        Verdadero       2.2e-05 ms      16              7
6 8 4 1 5 9 2 3 7 0 10 11        Verdadero       2.3e-05 ms      16              7
4 7 9 1 6 0 8 5 2 10 3 11        Verdadero       7.7e-05 ms      62              9
0 3 8 10 9 7 4 5 2 1 6 11        Verdadero       8.7e-05 ms      66              9
0 3 8 7 9 10 6 1 2 5 4 11        Verdadero       0.000102 ms     78              9
3 7 5 0 8 1 10 2 6 9 4 11        Verdadero       6.5e-05 ms      52              10
8 4 6 10 2 5 7 9 1 3 0 11        Verdadero       0.000114 ms     114             9
5 10 7 0 1 8 4 2 3 6 9 11        Verdadero       0.000127 ms     110             10
8 10 7 2 9 5 1 4 6 3 0 11        Verdadero       3.1e-05 ms      24              9
5 10 9 6 1 0 7 8 2 4 3 11        Verdadero       2.2e-05 ms      16              7
7 5 3 4 8 0 10 6 9 1 2 11        Verdadero       2.4e-05 ms      18              8
0 6 10 9 2 7 5 8 1 4 3 11        Verdadero       2.4e-05 ms      18              8
7 4 8 2 10 1 0 5 9 3 6 11        Verdadero       4.8e-05 ms      26              9
2 0 5 8 9 4 1 7 10 6 3 11        Verdadero       0.000351 ms     370             10
9 4 3 6 2 8 10 7 0 5 1 11        Verdadero       0.000299 ms     300             10
4 5 9 2 1 3 6 10 7 0 8 11        Verdadero       2.6e-05 ms      22              9
4 3 8 1 6 10 0 2 9 5 7 11        Verdadero       0.001706 ms     2744            11
3 6 10 1 2 7 0 9 4 8 5 11        Verdadero       3.9e-05 ms      28              9
3 6 1 2 8 5 10 4 7 9 0 11        Verdadero       0.000223 ms     220             10
6 9 10 5 1 0 7 8 2 4 3 11        Verdadero       4.4e-05 ms      32              8
7 4 8 3 10 6 9 2 5 0 1 11        Verdadero       7.1e-05 ms      56              9
1 3 5 6 8 2 0 4 10 7 9 11        Verdadero       0.001283 ms     1214            11
0 8 6 5 9 1 7 3 10 4 2 11        Verdadero       5e-05 ms        26              9
3 4 7 9 0 2 5 6 1 8 10 11        Verdadero       5.4e-05 ms      30              8
5 1 0 9 7 3 4 6 8 10 2 11        Verdadero       0.000163 ms     130             10
4 7 10 2 1 9 3 0 6 5 8 11        Verdadero       3.8e-05 ms      28              9
2 10 9 4 5 1 8 7 3 6 0 11        Verdadero       3.9e-05 ms      32              9
10 6 3 8 0 2 7 9 1 4 5 11        Verdadero       0.000151 ms     136             9
8 7 4 3 0 5 1 6 2 9 10 11        Verdadero       5.4e-05 ms      44              9
7 4 8 3 6 10 0 5 1 9 2 11        Verdadero       0.000181 ms     134             10
1 7 9 4 10 8 2 6 5 0 3 11        Verdadero       0.000272 ms     264             10
3 6 5 7 9 4 1 8 2 10 0 11        Verdadero       9.4e-05 ms      74              9
10 4 2 3 8 6 1 7 5 9 0 11        Verdadero       6.4e-05 ms      54              9
5 0 6 4 7 9 2 10 8 3 1 11        Verdadero       0.000218 ms     224             10
0 5 10 3 1 9 7 8 2 6 4 11        Verdadero       0.0001 ms       84              10
6 9 5 1 8 2 4 10 0 3 7 11        Verdadero       9.8e-05 ms      92              10
6 7 10 9 5 3 4 1 8 0 2 11        Verdadero       0.000176 ms     180             9
2 9 1 6 5 10 7 8 0 3 4 11        Verdadero       2.4e-05 ms      20              8
5 10 9 7 0 1 6 8 2 4 3 11        Verdadero       2.7e-05 ms      20              8
7 3 10 0 4 1 9 2 5 8 6 11        Verdadero       6e-05 ms        48              10
8 4 6 9 5 7 1 3 2 0 10 11        Verdadero       0.000166 ms     148             10
8 2 10 6 9 5 3 4 7 1 0 11        Verdadero       9.6e-05 ms      92              9
1 8 7 3 9 2 5 0 6 4 10 11        Verdadero       0.000562 ms     618             10
4 10 8 5 7 0 1 6 2 3 9 11        Verdadero       0.000154 ms     172             9
7 1 5 0 3 10 8 6 9 4 2 11        Verdadero       0.00011 ms      96              10
0 10 3 9 6 5 4 2 1 7 8 11        Verdadero       2.3e-05 ms      18              8
4 2 0 7 9 1 6 5 8 10 3 11        Verdadero       0.000302 ms     424             10
6 1 0 9 4 2 7 10 5 8 3 11        Verdadero       0.001266 ms     1522            11
