Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-12-4-hard.txt
Instancia                        Resuelto        Tiempo      Nodos Expandidos   Distancia
-----------------------------------------------------------------------------------------
2 5 3 9 4 6 1 8 0 7 10 11        Verdadero       0.000215 ms     96              10
3 7 0 1 2 8 4 10 9 6 5 11        Verdadero       3.2e-05 ms      12              5
1 5 10 4 8 0 2 9 7 6 3 11        Verdadero       0.000495 ms     356             10
5 6 3 2 0 4 9 10 1 7 8 11        Verdadero       3e-05 ms        18              7
1 3 8 6 0 5 7 10 4 2 9 11        Verdadero       0.000152 ms     70              10
9 3 6 5 10 1 8 0 2 7 4 11        Verdadero       5.5e-05 ms      26              9
8 4 9 1 5 2 10 7 0 3 6 11        Verdadero       0.000236 ms     122             10
3 9 1 8 0 10 5 2 7 4 6 11        Verdadero       0.000228 ms     130             10
0 7 9 4 6 5 10 1 3 2 8 11        Verdadero       5.1e-05 ms      34              9
9 4 5 10 0 7 1 3 6 2 8 11        Verdadero       7.1e-05 ms      38              9
7 1 3 4 5 10 9 8 2 0 6 11        Verdadero       9.9e-05 ms      64              9
5 6 7 0 1 2 8 4 10 9 3 11        Verdadero       2e-05 ms        14              6
2 6 3 1 5 0 10 9 8 7 4 11        Verdadero       0.000359 ms     354             10
8 9 4 2 3 7 0 5 10 1 6 11        Verdadero       4.5e-05 ms      34              9
3 10 1 6 0 8 9 2 7 5 4 11        Verdadero       0.000125 ms     116             9
9 3 0 6 10 8 4 1 5 2 7 11        Verdadero       9.6e-05 ms      78              10
1 2 6 4 8 7 5 3 0 10 9 11        Verdadero       4.4e-05 ms      32              9
6 5 3 4 2 0 1 10 7 9 8 11        Verdadero       0.00025 ms      248             10
5 3 0 8 1 10 7 9 2 6 4 11        Verdadero       9.6e-05 ms      86              10
0 10 4 8 5 6 3 9 2 1 7 11        Verdadero       6.7e-05 ms      64              9
5 1 8 2 7 9 10 6 3 0 4 11        Verdadero       0.000127 ms     108             10
5 6 7 8 2 1 0 4 10 9 3 11        Verdadero       1.8e-05 ms      16              7
2 3 6 1 4 0 10 9 8 7 5 11        Verdadero       6.3e-05 ms      54              9
8 3 7 9 4 10 5 0 2 1 6 11        Verdadero       3e-05 ms        20              8
8 5 9 3 4 6 10 0 7 2 1 11        Verdadero       2.7e-05 ms      18              8
9 8 7 6 1 10 0 4 3 5 2 11        Verdadero       4.2e-05 ms      30              9
