Por favor, ingrese un archivo de prueba seguido de ENTER: Tests/top-spin-12-4-medium.txt
Instancia                        Resuelto       Tiempo       Nodos Expandidos   Distancia
8 3 0 1 4 10 9 7 5 6 2 11        Verdadero       5.7e-05 ms      56              9
10 7 4 5 6 3 1 2 9 8 0 11        Verdadero       2.2e-05 ms      16              7
3 0 1 10 6 8 2 7 5 4 9 11        Verdadero       6.2e-05 ms      54              9
0 3 9 1 5 2 7 4 10 8 6 11        Verdadero       0.000411 ms     438             10
8 3 6 1 5 2 9 7 0 4 10 11        Verdadero       3.9e-05 ms      30              9
2 4 9 6 0 8 7 5 10 3 1 11        Verdadero       4e-05 ms        30              10
7 8 5 2 10 6 3 4 1 0 9 11        Verdadero       3.2e-05 ms      22              8
2 9 5 8 7 3 0 1 4 10 6 11        Verdadero       4.2e-05 ms      28              9
9 0 1 6 4 7 3 8 5 2 10 11        Verdadero       0.00021 ms      192             10
2 8 3 6 5 7 9 10 0 4 1 11        Verdadero       0.000139 ms     134             10
7 9 6 2 8 4 0 1 3 10 5 11        Verdadero       4.7e-05 ms      42              9
6 2 3 4 8 0 1 9 5 7 10 11        Verdadero       4.8e-05 ms      32              8
5 3 8 7 10 1 4 0 9 6 2 11        Verdadero       8.9e-05 ms      64              10
0 7 9 6 5 4 2 10 8 1 3 11        Verdadero       0.001918 ms     2430            10
2 8 6 9 0 10 4 7 5 1 3 11        Verdadero       0.000293 ms     282             10
9 4 6 1 7 0 8 5 2 10 3 11        Verdadero       0.000807 ms     936             11
0 1 7 9 6 8 3 10 5 4 2 11        Verdadero       2.5e-05 ms      22              8
6 3 1 8 5 0 2 10 4 7 9 11        Verdadero       0.00047 ms      538             10
8 2 7 4 9 6 5 0 3 10 1 11        Verdadero       0.000564 ms     546             10
1 4 8 3 6 5 7 9 10 0 2 11        Verdadero       0.000437 ms     508             10
8 1 7 3 4 0 5 9 2 10 6 11        Verdadero       0.000177 ms     186             10
10 8 7 4 9 6 3 2 0 1 5 11        Verdadero       3.6e-05 ms      30              9
10 4 3 6 5 0 7 9 1 2 8 11        Verdadero       2.2e-05 ms      18              8
0 7 4 3 9 5 1 10 8 6 2 11        Verdadero       2.9e-05 ms      20              8
4 3 1 5 7 0 8 6 2 9 10 11        Verdadero       3.6e-05 ms      26              9
0 10 2 7 4 8 1 6 9 5 3 11        Verdadero       4e-05 ms        30              8
3 4 7 9 0 2 5 6 8 1 10 11        Verdadero       8.8e-05 ms      76              9
10 4 1 9 3 7 6 2 8 0 5 11        Verdadero       5.3e-05 ms      20              8
3 0 8 1 4 6 5 9 2 7 10 11        Verdadero       0.000328 ms     448             9
