Please enter a test file followed by ENTER: Tests/top-spin-14-4-easy.txt
Instance                         Solved   Time     Nodes Expanded   Distance
5 1 12 4 7 3 2 10 9 8 11 6 0 13  True   0.068041        51843           11
6 10 2 3 1 9 5 8 7 4 12 11 0 13  True   0.027851        21982           11
11 1 10 0 12 3 5 9 8 7 4 2 6 13  True   0.002243        1862            10
12 8 4 10 0 1 9 7 2 3 11 6 5 13  True   0.020998        13056           11
9 4 12 5 8 1 10 6 2 7 11 0 3 13  True   0.017449        13259           11
3 4 7 1 0 8 9 6 5 10 2 12 11 13  True   0.000954        856             9
8 4 10 9 2 12 3 1 6 7 5 11 0 13  True   0.001471        1134            10
7 0 3 9 12 8 11 6 10 1 2 5 4 13  True   0.00391         2690            11
10 1 7 0 2 4 12 11 3 5 9 8 6 13  True   0.013159        10224           11
3 6 11 5 7 4 12 9 8 0 2 10 1 13  True   0.063927        52199           11
5 8 4 2 6 10 12 0 9 7 11 1 3 13  True   0.117769        77327           12
12 8 10 4 5 1 6 0 11 3 9 2 7 13  True   0.011538        7882            11
7 4 11 1 10 0 12 3 5 9 8 2 6 13  True   0.012116        8702            11
1 2 3 0 9 4 5 11 8 12 10 6 7 13  True   0.000292        179             9
2 4 11 0 12 1 6 7 3 9 5 10 8 13  True   0.041484        28872           12
0 10 1 7 6 2 12 11 4 3 9 5 8 13  True   0.002981        2067            10
7 4 9 0 10 12 6 8 11 5 3 2 1 13  True   0.084765        61140           12
6 0 9 8 2 7 4 5 10 1 11 12 3 13  True   0.024938        19637           11
11 4 6 5 1 9 0 10 8 2 7 3 12 13  True   0.185272        131607          12
4 9 1 6 11 8 3 7 5 2 0 10 12 13  True   0.019857        16380           11
2 8 6 12 5 4 3 11 1 0 7 9 10 13  True   0.005747        4199            10
9 7 11 1 10 4 5 8 6 12 0 3 2 13  True   0.616796        462838          13
