Please enter a test file followed by ENTER: Tests/top-spin-14-4-hard.txt
Instance                         Solved   Time     Nodes Expanded   Distance
9 0 11 5 2 4 8 12 10 1 6 3 7 13  True   0.075847        52384           12
12 4 2 10 5 9 7 3 1 11 8 6 0 13  True   0.074838        53666           12
5 3 0 8 7 9 10 11 6 2 12 4 1 13  True   0.029507        23514           11
11 2 1 12 4 0 7 9 10 3 5 8 6 13  True   0.073264        56434           12
0 8 4 12 11 5 9 2 7 6 10 3 1 13  True   0.012989        10707           11
9 0 12 5 2 4 3 8 11 1 10 7 6 13  True   0.033967        19594           12
1 2 10 11 3 9 8 4 5 6 12 0 7 13  True   0.00086         612             9
8 11 5 9 6 10 7 4 3 1 12 2 0 13  True   0.004766        3557            11
3 10 9 1 12 5 11 6 4 2 8 0 7 13  True   0.301348        204092          13
9 6 2 11 3 12 10 0 4 5 7 1 8 13  True   0.035718        24694           12
5 0 4 12 1 11 2 9 7 6 10 8 3 13  True   0.179978        118219          12
1 0 11 3 8 10 4 7 5 9 12 6 2 13  True   0.31582         220467          12
8 0 3 5 7 6 11 10 9 2 12 4 1 13  True   0.013723        11392           10
12 2 1 11 6 9 0 3 4 10 8 5 7 13  True   0.019864        14440           11
2 0 9 7 11 12 1 5 4 8 6 10 3 13  True   0.011384        8939            10
11 2 0 7 1 9 3 5 4 6 12 8 10 13  True   0.185119        126705          12
7 12 11 1 6 9 10 8 3 4 5 2 0 13  True   0.017831        13747           11
6 2 3 8 11 12 9 1 5 4 10 7 0 13  True   0.001554        996             10
10 12 6 7 11 3 9 8 0 1 5 4 2 13  True   0.010137        8275            11
12 8 3 0 1 6 9 11 4 7 10 5 2 13  True   0.074999        60421           11
5 12 6 0 10 2 4 11 9 7 3 1 8 13  True   0.005801        3695            11
11 2 9 8 1 4 0 12 3 7 5 6 10 13  True   0.066513        52001           12
